"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Protecting Critical Infrastructure: Strategies for Managing Cybersecurity Risks in Nuclear Fusion Facilities","O. I. Falowo; J. Kropczynski; C. Li","School of Information Technology, University of Cincinnati, Cincinnati, United States of America; School of Information Technology, University of Cincinnati, Cincinnati, United States of America; School of Information Technology, University of Cincinnati, Cincinnati, United States of America","2023 IEEE Intl Conf on Parallel & Distributed Processing with Applications, Big Data & Cloud Computing, Sustainable Computing & Communications, Social Computing & Networking (ISPA/BDCloud/SocialCom/SustainCom)","11 Apr 2024","2023","","","1050","1061","The increasing reliance on clean energy sources, such as nuclear fusion, to combat climate change has highlighted the importance of ensuring the cybersecurity of nuclear fusion plants. In this study, a thematic analysis was conducted to examine the role of nuclear fusion facility’s cybersecurity in combating climate change. Findings from our analysis suggest that the cybersecurity of nuclear fusion plants is critical for a reliable and continuous production of clean energy, which is essential for meeting global climate goals. There are publicly available historical facts that suggest that cyberattacks on critical infrastructure can lead to a very negative outcome. Therefore, a cyberattack on any nuclear fusion plants is likely to disrupt the supply of clean energy and may undermine efforts to combat climate change. Ensuring the cybersecurity of nuclear fusion plants requires the development and implementation of robust cybersecurity technologies, standards, and best practices. Investment in cybersecurity startups may also play a role in enhancing a sustainable cybersecurity of nuclear fusion plant. Many studies validate that cybersecurity startups often drive innovation and can bring new and advanced technologies and solutions to the market, which can help to improve the cybersecurity of nuclear fusion plants or other critical infrastructure. This study also echoes the importance of classifying critical infrastructure cybersecurity risks according to either severity level or likelihood to happen. This risks’ classification efforts may include identifying critical assets, assessing vulnerabilities and threats, with the objective to ensure continuous risk assessment is accomplished. In conclusion, this thematic analysis highlights the importance of nuclear fusion plants’ cybersecurity in combating climate change.","","979-8-3503-2922-3","10.1109/ISPA-BDCloud-SocialCom-SustainCom59178.2023.00170","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10491822","Critical Infrastructure;Critical Infrastructure Cybersecurity;Climate Change;Cybersecurity Practices;Cybersecurity Startups;Managing Cybersecurity Risks;Security in Nuclear Fusion Plants","Critical infrastructure;Climate change;Computer security;Risk management;Nuclear power generation;Green energy","","","","119","IEEE","11 Apr 2024","","","IEEE","IEEE Conferences"
"A Review on AI-powered Advancements in Climate Finance and its Impact","B. A. Pandow; K. A. Ganai; G. Hussain","School of Business and Logistics Bahrain Polytechnic, Manama, Bahrain; Dept. of Business, Higher Colleges of Technology, Dubai, UAE; Department of Computer Science, Mewar University, Chittorgarh, India","2024 11th International Conference on Computing for Sustainable Global Development (INDIACom)","18 Apr 2024","2024","","","1409","1413","As humanity works progressively to address climate change, the combination of artificial intelligence (AI) and climate financing offers a hopeful path for significant progress. The objective of this project is to examine the strategic implementation of AI technology to improve many areas of climate financing. This research evaluates the capacity of AI algorithms to streamline and automate operations in climate financing organizations, resulting in improved operational efficiency and decreased administrative costs. Furthermore, we have examined the possible uses of AI-driven algorithmic trading in the realm of environmentally-friendly finance. We have assessed its influence on market behavior, the availability of funds, and the distribution of resources towards sustainable investments. In addition, we examine the ethical and regulatory factors related to the implementation of AI in this particular setting. The study examines the influence of algorithmic trading on green finance, with a focus on potential opportunities for collaboration between the public and private sectors. This research offers useful insights into utilizing AI technology to tackle climate-related concerns and promote sustainability in financial decision-making, with a specific emphasis on practical applications.","","978-93-80544-51-9","10.23919/INDIACom61295.2024.10498959","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10498959","Climate Change;Artificial Intelligence;Climate Finance;sustainable investments","Climate change;Reviews;Decision making;Finance;Predictive models;Artificial intelligence;Sustainable development","","","","23","","18 Apr 2024","","","IEEE","IEEE Conferences"
"Influence of Amplifiers on Performance of Transmission Systems with Optical Non-Linearity Impairments","S. Mittal; R. Vallikannu","ECE- HITS, Hindustan University, Chennai, India; ECE- HITS, Hindustan University, Chennai, India","2024 International Conference on Integrated Circuits and Communication Systems (ICICACS)","18 Apr 2024","2024","","","1","7","Microwave Photonics Systems (MWP) have shown tremendous success in communication areas such as 5G networks, Radar, and Internet of things. To have highly efficient MWP system, factors such as dispersion, losses and nonlinearities in the transmission process need to be minimized. Transmission systems generally have non-linearities such as Self-phase modulation (SPM), Cross phase modulation (XPM), Four wave mixing (FWM) which hamper the overall transmission performance at high speeds. To compensate the losses and non-linearities, the system should have right amplification and mitigation mechanism at receiving end. This paper firstly analyses all three non-linearities variation in terms of input power, Fiber length and transmission rate. Secondly, these non-linearities are analyzed with different optical amplifiers such as EDFA black box, Er-Yb co-dopped and Raman amplifiers. The parameters Q-factor, BER rate and Eye heights are taken to measure the performance output.","","979-8-3503-1755-8","10.1109/ICICACS60521.2024.10499076","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10499076","Microwave Photonics (MWP) Communication;Optical Delay line;Optical filters;fiber non-linearities;Self-phase modulation (SPM);Cross-phase modulation (XPM);Four-wave mixing (FWM);Optical amplifier","Optical fiber amplifiers;Optical losses;Stimulated emission;Optical mixing;Optical distortion;Optical fiber networks;Optical variables measurement","","","","15","IEEE","18 Apr 2024","","","IEEE","IEEE Conferences"
"Analytic Hierarchy Process Based Optimal Forest Economic Decision-making and Carbon Sequestration Model","X. Xing; X. Yang; R. Fu; H. Che",NA; NA; NA; NA,"2023 IEEE Sustainable Power and Energy Conference (iSPEC)","25 Jan 2024","2023","","","1","6","Forests play an important role in mitigating climate change, so classifying and discussing forests in different regions of the world is crucial. This comprehensive analysis should consider factors such as the age and type of trees, geography and lifespan and benefits of forest products. Moreover, providing reasonable and effective measures for mitigating climate change is essential. In this research, an analytic hierarchy method based decision-making model was established according to the principle of dynamic efficiency, in order to calculate the optimal harvesting cycle in a particular area, thus maximizing the economic benefits of the region’s forest. To test the model, the forests in Jilin Province have been selected as a study case. The results demonstrated that the model effectively addresses the issue of forest carbon sequestration and optimal economic decision-making.","2837-522X","979-8-3503-2269-9","10.1109/iSPEC58282.2023.10402978","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10402978","Analytic hierarchy method;gray prediction;optimal decision-making;dynamic efficiency","Economics;Climate change;Analytical models;Biological system modeling;Decision making;Carbon sequestration;Optimization","","","","14","IEEE","25 Jan 2024","","","IEEE","IEEE Conferences"
"Hidden Markov Models-Based Anomaly Correlations for the Cyber-Physical Security of EV Charging Stations","M. Girdhar; J. Hong; H. Lee; T. -J. Song","Department of Electrical and Computer Engineering, University of Michigan–Dearborn, Dearborn, MI, USA; Department of Electrical and Computer Engineering, University of Michigan–Dearborn, Dearborn, MI, USA; US Hitachi Energy Research Center, Hitachi Energy, Raleigh, NC, USA; Department of Urban Engineering, Chungbuk National University, Cheongju, South Korea","IEEE Transactions on Smart Grid","23 Aug 2022","2022","13","5","3903","3914","Over recent years, we have seen a significant rise in electric mobility to overcome the anthropogenic emissions by conventional gasoline vehicles. However, the prerequisite of smoothening of peaks and imbalances through bidirectional charging is concatenated with the undesired impacts on reliability and security of power system operation when there are probable intrusions in the eXtreme Fast Charging (XFC) station, hence destabilizing the charging networks. So this paper applies STRIDE based threat modeling to analyze and identify multiple potential threats endured by the cyber-physical system (CPS) of XFC station by using weighted attack defense tree. Potential mitigation strategies are then suggested for the identified severe threats. In addition, this paper also develops a stochastic probabilistic tool, the Hidden Markov Model (HMM) for modeling the security attacks for a given range of identified attack vectors and hence employing an appropriate defense strategy against the malicious hacker. Also, a weighted attack defense tree has been developed to generate various attack scenarios. In the end, the results of the proposed work are substantiated and validated if it is able to considerably improve overall charging efficiency and cyber-physical security of the charging station network.","1949-3061","","10.1109/TSG.2021.3122106","Chungbuk National University Brain Korea (BK) 21 FOUR (2021); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9583592","Electric vehicle charging station;cyber-physical security;hidden Markov models;cybersecurity of EV charger","Hidden Markov models;Computer security;Electric vehicle charging;Cyberattack;Reliability;Power grids;Protocols","","18","","35","IEEE","21 Oct 2021","","","IEEE","IEEE Journals"
"Green Transition from Space: actionable information to support Sustainable Cities planning","A. Metz-Marconcini; S. Lumnitz; M. Marconcini; F. E. Leonelli; P. Griffiths; M. Paganini","German Aerospace Center (DLR), Earth Observation Center, Oberpfaffenhofen, Germany; Enterprise Section, European Space Agency, Frascati, Italy; German Aerospace Center (DLR), Earth Observation Center, Oberpfaffenhofen, Germany; Application Section, European Space Agency, Frascati, Italy; Digital Platforms Section, European Space Agency, Frascati, Italy; Application Section, European Space Agency, Frascati, Italy","2023 Joint Urban Remote Sensing Event (JURSE)","8 Jun 2023","2023","","","1","4","The need of taking concrete actions for a Europe’s Green Transition is evident, and in this direction clear objectives have been set through the European Green Deal. In this context, quantifiable and tailored information is needed to allow conscious decisions and support advocacy. Space datasets and tools enabling their processing represent empowering solutions for delivering suitable actionable information; however, in several cases this potential has not been fully exploited yet, or not completely understood or even known. The Space for a Green Future (S4GF) Accelerator, one of the three thematic areas identified by the European Space Agency (ESA) in need for action to accelerate the use of space for solving wider societal issues, precisely addresses this objective. Here we describe the Green Transition Information Factories (GTIF) element, which has been developed to provide interactive tools enabling conscious use of data and tools in support to decision making. Specific attention is given to Sustainable Cities enablers, since urban planning plays a pivotal role in bridging the Green Transition.","2642-9535","978-1-6654-9373-4","10.1109/JURSE57346.2023.10144202","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10144202","Green Transition Information Factories (GTIF);Space for Green Future;Sustainable Cities","Accelerated aging;European Space Agency;Urban planning;Decision making;Europe;Production facilities;Object recognition","","","","24","IEEE","8 Jun 2023","","","IEEE","IEEE Conferences"
"Alternate Filter Structures for Circulating Current and Conducted Noise Mitigation","R. Phukan; R. Burgos","Department of Electrical and Computer Engineering, Virginia Polytechnic Institute and State University, Blacksburg, VA, USA; Center for Power Electronics Systems, Electrical and Computer Engineering, Virginia Polytechnic Institute and State University, Blacksburg, VA, USA","IEEE Transactions on Power Electronics","2 Sep 2022","2022","37","12","14052","14056","This letter presents a family of filter topologies for circulating current and conducted emissions mitigation, applicable with parallel and interleaved converters. The proposed alternative topologies are aimed at reducing the overall filter volume using magnetic integration or topological variations. In general, they are classified into three distinct forms, namely in-directly coupled, localized, and direct phase to phase coupled topologies. The emphasis is on pure common mode harmonics but can be extended to differential mode components as well. A quantitative comparison among the variants is made on the basis of simulation/experimental findings and references aiding the designer to select the structure best suited for a particular application.","1941-0107","","10.1109/TPEL.2022.3198501","Siemens Corporate Research; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9855883","Indirect coupling;localization;monolithic structure;silicon carbide (SiC)","Inductors;Power harmonic filters;Shunts (electrical);Impedance;Couplings;Harmonic analysis;Windings","","","","15","IEEE","15 Aug 2022","","","IEEE","IEEE Journals"
"Design of a Lithium-Ion Battery with Optimal Thermal Control","T. M. Makuvara; A. Gill; P. K. Mishra","Department of Electrical Engineering, Chandigarh University, Mohali, Punjab, India; Dean R&D, R&D Cell, Vivekananda Global University, Jaipur, Rajasthan, India; Department of Electrical Engineering, Chandigarh University, Mohali, Punjab, India","2023 3rd Asian Conference on Innovation in Technology (ASIANCON)","10 Oct 2023","2023","","","1","8","This paper presents a design for a lithium-ion electric vehicle (EV) battery that aims to achieve long-range and high performance. The proposed design focuses on optimizing the battery's energy density, power density, and thermal management, which are critical factors for EV batteries. The design also incorporates advanced materials and manufacturing techniques to improve the battery's reliability and durability. To assess the performance of the proposed battery, a comprehensive modelling and simulation approach is employed, including evaluating the battery's behaviour under various driving conditions. The results of the simulations demonstrate that the proposed battery design can achieve a significantly longer range and higher performance compared to current EV batteries. The proposed battery design is expected to contribute to the development of more efficient and reliable EVs, which can help reduce dependence on fossil fuels and mitigate climate change.","","979-8-3503-0228-8","10.1109/ASIANCON58793.2023.10270641","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10270641","Lithiumion battery;BMS;Thermal control;Battery pack;battery electric vehicles","Temperature sensors;Temperature;Cooling;Thermal management;Electric vehicles;Reliability engineering;Climate change","","","","40","IEEE","10 Oct 2023","","","IEEE","IEEE Conferences"
"Embedding externalities in electricity prices – the need of the hour","A. S. Malik","Department of Electrical and Computer Engineering, Sultan Qaboos University, Al-Khod, Oman","13th Mediterranean Conference on Power Generation, Transmission, Distribution and Energy Conversion (MEDPOWER 2022)","29 May 2023","2022","2022","","448","452","We are arguing that in order to reduce climate change, governments should adopt legislation requiring generators and independent power producers (IPPs) to provide system operators with energy offer/bidding prices, incremental heat rates and cost curves, and emission factors of important pollutants. The system operator then include environmental costs in the incremental cost curve of energy/bid price when making the merit order for dispatch Less efficient, high-emitting fossil fuel power plants (such as coal-fired plants) lose slots in the merit order and have their annual operational hours reduced in an economic dispatch modelAs a result, emissions are lowered, and high-emitting power plants' profitability is diminished. The generation mix in the electricity market will be completely altered, and the entire electricity market scenario will permanently shift to cleaner energy. To demonstrate the concept, the cost and environmental performance of some selected fossil-fuel technologies are used to demonstrate the concept to show how the merit order changes completely when environmental costs are added to their marginal energy costs.","","978-1-83953-844-5","10.1049/icp.2023.0034","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10137525","","Climate change;Climate mitigation;Electricity supply industry;Power markets;Pricing;Power system economics","","","","","","29 May 2023","","","IET","IET Conferences"
"Electromagnetic Interference Mitigation in SATCOM Ku-Band Channel Amplifiers","S. K. Pandey; A. Sharma; D. Raval; P. Srivastava; J. Thakkar","Space Applications Centre, ISRO, Ahmedabad, India; Space Applications Centre, ISRO, Ahmedabad, India; Space Applications Centre, ISRO, Ahmedabad, India; Space Applications Centre, ISRO, Ahmedabad, India; Space Applications Centre, ISRO, Ahmedabad, India","2023 IEEE Microwaves, Antennas, and Propagation Conference (MAPCON)","20 Mar 2024","2023","","","1","5","The work demonstrates practical implementations to improve radiation susceptibility of highly miniaturized, high gain Ku Band Channel Amplifiers (CAMPs). In a Ku Band satellite communication payload, CAMPs operate at −54dBm input power and provide a high 60dB gain to drive Travelling Wave Tube Amplifiers. EMI mitigation implementations have resulted in radiated emission levels at the output of CAMP <−60dBc with respect to the main signal. The performance corresponds to 89dB shielding effectiveness of the unit, which is very close to what is practically possible with RF and DC interfaces used. These implementations have contributed in achieving excellent transponder gain flatness.","","979-8-3503-2826-4","10.1109/MAPCON58678.2023.10463838","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10463838","Channel Amplifiers;Transponder Gain Ripple;Radiation Susceptibility;Shielding Effectiveness","Microwave antennas;Satellites;Traveling wave tubes;Electromagnetic interference;Microwave communication;Microwave amplifiers;Transponders","","","","8","IEEE","20 Mar 2024","","","IEEE","IEEE Conferences"
